Title,Author,ISBN,Average Rating,Publication Date,Rating
172 Hours on the Moon,Johan Harstad,,3.54,,0
Salvage,Alexandra Duncan,,3.68,,0
The 100,Kass Morgan,,3.57,,0
Alienated,Melissa Landers,,3.89,,0
The Bro Code,Matt Kuhn,,3.70,,0
A Touch of Minx,Suzanne Enoch,,4.12,,0
Billionaires Prefer Blondes,Suzanne Enoch,,4.09,,0
Don't Look Down,Suzanne Enoch,,4.03,,0
Flirting With Danger,Suzanne Enoch,,3.93,,0
Angel Eyes,Nicole Luiken,,4.05,,0
Silver Eyes,Nicole Luiken,,3.94,,0
Violet Eyes,Nicole Luiken,,3.90,,0
And All the Stars,Andrea K. Höst,,3.89,,0
Infinity,Sherrilyn Kenyon,,4.03,,0
Dance with the Devil,Sherrilyn Kenyon,,4.37,,0
Fantasy Lover,Sherrilyn Kenyon,,4.15,,0
Harry Potter and the Cursed Child: Parts One and Two,J.K. Rowling,,3.50,,0
Allegiant,Veronica Roth,,3.60,,0
Tales from the Shadowhunter Academy,Cassandra Clare,,4.32,,0
Clockwork Princess,Cassandra Clare,,4.56,,0
City of Heavenly Fire,Cassandra Clare,,4.39,,0
City of Lost Souls,Cassandra Clare,,4.22,,0
City of Fallen Angels,Cassandra Clare,,4.08,,0
City of Ashes,Cassandra Clare,,4.12,,0
Fifty Shades of Grey,E.L. James,,3.66,,0
Arclight,Josin L. McQuein,,3.60,,0
Reboot,Amy Tintera,,3.89,,0
The 5th Wave,Rick Yancey,,4.01,,0
Prison Planet Barbarian,Ruby Dixon,,3.94,,0
Infinite,Jodi Meadows,,4.03,,0
Asunder,Jodi Meadows,,3.96,,0
The Elite,Kiera Cass,,3.95,,0
Origin,Jessica Khoury,,3.89,,0
Year One,Nora Roberts,,4.05,,0
Come Sundown,Nora Roberts,,4.14,,0
Behind the Lens,Cassandra Giovanni,,4.19,,0
Hera 2781,Janet Edwards,,4.15,,0
Scavenger Alliance,Janet Edwards,,4.28,,0
Fangirl,Rainbow Rowell,,3.96,,0
Outside In,Maria V. Snyder,,3.83,,0
The Rocker That Holds Me,Terri Anne Browning,,3.90,,0
Across the Universe,Beth Revis,,3.77,,0
In Arcadia,Andrea K. Höst,,4.21,,0
Gratuitous Epilogue,Andrea K. Höst,,4.16,,0
Caszandra,Andrea K. Höst,,4.18,,0
Lab Rat One,Andrea K. Höst,,4.30,,0
Beta,Rachel Cohn,,3.53,,0
Stray,Andrea K. Höst,,3.99,,0
Twilight / Life and Death,Stephenie Meyer,,3.45,,0
The Short Second Life of Bree Tanner,Stephenie Meyer,,3.51,,0
Midnight Sun [2008 Draft],Stephenie Meyer,,4.01,,0
The Host,Stephenie Meyer,,3.86,,0
Breaking Dawn,Stephenie Meyer,,3.73,,0
Eclipse,Stephenie Meyer,,3.72,,0
New Moon,Stephenie Meyer,,3.59,,0
Notorious Nineteen,Janet Evanovich,,3.97,,0
Visions of Sugar Plums,Janet Evanovich,,3.72,,0
Explosive Eighteen,Janet Evanovich,,3.97,,0
Sizzling Sixteen,Janet Evanovich,,3.97,,0
Smokin' Seventeen,Janet Evanovich,,3.98,,0
